task_id,category,title,modality,quality_1_5,speed_1_5,reliability_1_5,effort_1_5,verdict,notes
dw1,01_daily_workflows,Stakeholder update email,text,5,5,5,5,Local,"Polished, scannable, clear ask; left [Date]/[Name] placeholders"
dw2,01_daily_workflows,Messy notes -> action items table,text,5,4,5,5,Local,"Clean table; flagged ambiguous owners; correctly excluded non-actionable items"
dw3,01_daily_workflows,Rewrite blunt Slack msg for execs,text,5,4,4,5,Local,"Gave 3 tone options + explained changes (over-delivered)"
dw4,01_daily_workflows,RICE prioritization,text,4,3,4,4,Local,"Solid RICE table + sensible top-2; 77s is slow"
or1,02_orchestration,Goal -> plan -> JSON tasks -> risks,text,4,3,4,4,Local,"Valid JSON, good plan + risks; plan slightly generic vs goal"
or2,02_orchestration,Strict JSON extraction (schema),text,5,4,5,5,Local,"Exact schema, valid JSON, correct values"
or3,02_orchestration,Tool-routing decision (agentic),text,4,3,4,4,Local,"Correct ticket+email calls; reasonably skipped search_docs"
lc1,03_light_coding,Python: parse CSV + chart,text,4,3,4,4,Caveats,"Runnable; inlined CSV as string; correct top-3 logic; verify"
lc2,03_light_coding,SQL from schema,text,4,3,3,4,Caveats,"Mostly-correct 7-day activation query; verify joins/edge cases"
lc3,03_light_coding,Explain + refactor snippet,text,5,4,5,5,Local,"Diagnosed O(n^2), gave idiomatic dict.fromkeys fix"
lc4,03_light_coding,Regex + test cases,text,5,4,5,5,Local,"Correct ^ORD-\d{8}(-R)?$ + good match/no-match table"
sum1,04_summarizing,Summarize long PRD (256K ctx),text,5,3,5,5,Local,"Cited section IDs; found a real missing spec; 72s"
sum2,04_summarizing,Condense support thread,text,5,4,5,5,Local,"Accurate status/root-cause/owner/sentiment"
sum3,04_summarizing,Extract decisions from transcript,text,5,4,5,5,Local,"Decisions + owners + due + parking lot; ignored small talk"
vi1,05_vision_image,Read dashboard screenshot -> KPIs,image+text,5,2,5,5,Local,"Read all 6 KPIs exactly + right 'most concerning'; 92s slow"
vi2,05_vision_image,Chart -> data table,image+text,5,4,5,5,Local,"Exact values + correct $24,800 total"
vi3,05_vision_image,OCR a scanned memo,image+text,5,5,5,5,Local,"Near-perfect OCR of rotated/speckled memo, fast (18s)"
vi4,05_vision_image,Critique a UI mockup,image+text,4,3,4,4,Local,"Good critique (Save button, delete styling, icons); missed tiny X target"
au1,06_audio,Voice memo -> summary + actions,audio+text,5,4,5,5,Local,"Accurate transcript + summary + action items w/ owners"
au2,06_audio,2-speaker clip -> diarized + decision,audio+text,5,4,5,5,Local,"Perfect Speaker A/B diarization + decision; 19s"
vd1,07_video,Summarize screen-demo video,video+audio,5,2,5,4,Caveats,"All 5 slides + PM summary using audio; slow (53s); motion lost"
vd2,07_video,List features shown in video,video+audio,4,2,4,4,Caveats,"Listed the 4 features in order; slowest (9.4 tok/s)"
